periodo,var_mensual_priv_registrado,indice_priv_registrado,var_mensual_pub_registrado,indice_pub_registrado,var_mensual_priv_no_registrado,indice_priv_registrado_no_registrado,var_mesual_total,indice_total,tarifa_plena_regt,tarifa_plena_regf,var_porcentual
2020/01,8.5,100,2.71,100,4.12,100,5.99,100.0,$30.00,,0
2020/02,4.6,104.62,2.85,102.85,3.20,103.2,3.85,103.9,$30.00,,0
2020/03,2.3,107.015798,4.18,107.14913,3.46,106.77072,3.04,107.0,$30.00,,0
2020/04,-0.2,106.7696617,0.56,107.7491651,0.68,107.4967609,0.17,107.2,$30.00,,0
2020/05,-0.2,106.5134145,0.52,108.3094608,-0.50,106.9592771,-0.07,107.1,$30.00,,0
2020/06,0.1,106.6518819,0.86,109.2409221,1.52,108.5850581,0.60,107.8,$30.00,,0
2020/07,1.3,108.0490216,1.10,110.4425723,4.24,113.1890646,1.79,109.7,$30.00,,0
2020/08,2.1,110.2748314,0.76,111.2819358,3.73,117.4110167,2.00,111.9,$30.00,,0
2020/09,2.2,112.6677953,3.21,114.854086,2.33,120.1466934,2.50,114.7,$30.00,,0
2020/10,5.3,118.6842555,3.13,118.4490189,2.16,122.7418619,4.10,119.4,$30.00,,0
2020/11,2.6,121.8175199,1.78,120.5574114,7.43,131.8615823,3.29,123.3,$30.00,,0
2020/12,1.6,123.7666002,2.41,123.462845,1.24,133.4966659,1.76,125.5,$30.00,,0
2021/01,4.0,128.7543942,2.43,126.4629922,2.46,136.7806839,3.27,129.6,$30.00,,0
2021/02,5.1,135.37237,3.82,131.2938785,2.83,140.6515772,4.33,135.2,$30.00,,0
2021/03,4.0,140.7331159,7.54,141.1934369,4.25,146.6292693,5.02,142.0,$30.00,,0
2021/04,4.7,147.4038656,1.56,143.3960545,1.46,148.7700566,3.21,146.5,$30.00,,0
2021/05,3.5,152.5777413,2.88,147.5258609,0.90,150.1089871,2.84,150.7,$30.00,,0
2021/06,1.8,155.2631095,4.01,153.4416479,1.16,151.8502514,2.28,154.1,$30.00,,0
2021/07,5.2,163.274686,6.02,162.6788351,2.40,155.4946574,4.91,161.7,$30.00,,0
2021/08,3.3,168.7280605,3.24,167.9496294,2.54,159.4442217,3.18,166.8,$30.00,,0
2021/09,3.6,174.8022706,6.63,179.0846898,0.84,160.7835532,4.00,173.5,$30.00,,0
2021/10,3.7,181.2874349,3.66,185.6391894,5.65,169.8678239,4.03,180.5,$30.00,,0
2021/11,4.5,189.3909832,2.74,190.7257032,4.34,177.2400875,3.94,187.6,$30.00,,0
2021/12,1.4,192.1182134,2.68,195.8371521,5.84,187.5909086,2.57,192.4,$30.00,,0
2022/01,4.6,201.0132867,2.92,201.5555969,2.54,192.3557177,3.76,199.7,$30.00,,0
2022/02,3.9,208.7925009,2.37,206.3324646,2.16,196.5106012,3.13,205.9,$30.00,,0
2022/03,5.4,220.1090544,12.11,231.319326,5.63,207.574148,7.39,221.1,$30.00,,0
2022/04,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,,0
2022/05,7.0,248.6358922,6.64,253.2405888,3.23,229.4068758,6.22,246.6,$30.00,,0
2022/06,5.1,261.2168683,4.59,264.8643318,4.59,239.9366514,4.84,258.5,$30.00,,0
2022/07,5.4,275.2703359,7.32,284.2524009,2.97,247.0627699,5.54,272.8,$30.00,,0
2022/08,8.1,297.6773412,4.24,296.3047027,5.41,260.4288658,6.52,290.6,$30.00,,0
2022/09,5.8,315.0021625,7.72,319.1794257,7.96,281.1590035,6.73,310.1,$30.00,,0
2022/10,5.3,331.6972771,5.98,338.2663554,3.13,289.9592803,5.14,326.1,$30.00,,0
2022/11,7.3,356.0438572,5.71,357.5813643,6.44,308.6326579,6.71,348.0,$30.00,,0
2022/12,4.5,372.2082483,9.18,390.4073335,0.54,310.2992743,5.27,366.3,$30.00,,0
2023/01,4.6,389.2926069,3.90,405.6332196,6.73,331.1824154,4.71,383.6,$30.00,,0
2023/02,6.9,416.1537968,3.84,421.2095352,7.09,354.6632487,6.00,406.6,$30.00,,0
2023/03,7.9,448.946716,16.31,489.9088104,6.08,376.2267742,10.11,447.7,$30.00,,0
2023/04,6.9,479.7444607,4.07,509.848099,4.84,394.4361501,5.67,473.1,$30.00,,0
2023/05,8.1,518.7956598,8.47,553.0322329,3.19,407.0186633,7.49,508.5,$30.00,,0
2023/06,5.7,548.3670124,6.02,586.3247734,7.49,437.5043612,6.06,539.3,$30.00,,0
2023/07,10.8,607.4809764,13.32,664.4232332,7.01,468.1734169,11.02,598.7,$30.00,,0
2023/08,8.3,658.1448898,5.96,704.0228579,8.54,508.1554267,7.61,644.3,$30.00,,0
2023/09,13.2,745.2174587,10.95,781.1133608,7.45,546.013006,11.68,719.6,$30.00,,0
2023/10,8.7,810.2749429,9.14,852.507122,4.91,572.8222446,8.33,779.5,$30.00,,0
2023/11,9.9,890.8162722,7.84,919.3436803,8.34,620.5956198,9.06,850.1,$30.00,,0
2023/12,11.0,989.1623886,5.50,969.9075828,7.63,667.9470655,8.85,925.4,$30.00,,0
2024/01,20.0,1186.89595,12.08,1087.072419,11.24,743.0243157,16.44,1077.5,$30.00,,0
2024/02,14.1,1353.89221,15.11,1251.329061,5.72,785.5253066,13.32,1221.0,$125.00,,416
2024/03,10.0,1489.146042,11.02,1389.225524,9.74,862.0354714,10.27,1346.4,$125.00,,0
2024/04,12.0,1667.396823,7.52,1493.695283,7.77,929.0156276,10.15,1483.1,$125.00,,0
2024/05,7.7,1795.452899,8.26,1617.074514,11.81,1038.732373,8.32,1606.5,$574.00,,360
2024/06,6.7,1915.568698,3.94,1680.787249,9.21,1134.399625,6.19,1705.9,$650.00,,13
2024/07,6.3,2035.674856,6.72,1793.736153,15.08,1305.467088,7.47,1833.3,$650.00,,0
2024/08,5.0,2138.272868,4.65,1877.144884,10.58,1443.585506,5.65,1936.9,$757.00,,16
2024/09,3.8,2218.885756,3.92,1950.728963,10.35,1592.996606,4.71,2028.1,$757.00,,0
2024/10,4.0,2306.531743,4.34,2035.3906,7.66,1715.020146,4.59,2121.2,$757.00,,0
2024/11,3.3,2382.185984,2.72,2090.753224,8.14,1854.622786,3.84,2202.7,$757.00,,0
2024/12,2.8,2448.648973,1.72,2126.71418,6.84,1981.478984,3.12,2271.4,$832.00,"$1,322.88",10
2025/01,2.3,2504.967899,0.93,2146.492622,8.58,2151.489881,2.93,2338.0,$832.00,"$1,322.88",0
2025/02,2.3,2562.832658,4.47,2242.440842,7.93,2322.103029,3.83,2427.5,$832.00,"$1,322.88",0
2025/03,2.2,2618.189843,3.28,2315.992902,5.11,2440.762494,2.97,2499.6,$832.00,"$1,322.88",0
2025/04,2.5,2684.430046,2.27,2368.56594,7.68,2628.213053,3.38,2584.1,$869.00,"$1,382.00",4.4
2025/05,2.0,2737.581761,3.28,2446.254903,5.56,2774.341699,2.99,2661.3,$919.00,"$1,460.00",5.7
2025/06,1.7,2784.941926,1.28,2477.566966,8.89,3020.980676,2.98,2740.7,$963.00,"$1,531",4.8
2025/07,2.2,2845.375166,2.28,2534.055493,3.58,3129.131784,2.48,2808.6,$996.71,"$1,584.66",3.5
2025/08,,,,,,,,,"$1,032.00","$1,639.29",3.5